Code,denumire_coloana,Shannon,Simpson
69964,Bucovat,-0.0,-21.0
70094,Isalnita,0.1090006901452889,-18.957444661566864
70110,Podari,0.31842417492906006,-18.826797969200012
70174,Simnicu De Sus,0.018627683980847482,-19.994627305603736
70316,Municipiul Bailesti,0.32515506824798873,-18.821139434191007
70352,Municipiul Calafat,0.22028846321603265,-17.895601205835547
70414,Oras Filiasi,0.18812584179555633,-19.91129565126886
70502,Oras Segarcea,0.372906626169725,-18.786369177992018
70520,Afumati,0.1254392340572657,-19.946778578485535
70566,Almaj,-0.0,-21.0
70637,Amarastii De Jos,0.5368502219542154,-19.6479663773348
70673,Amarastii De Sus,0.3066539158924569,-19.83327498891456
70726,Apele Vii,0.02576198240533338,-19.99214543384114
70744,Argetoaia,-0.0,-21.0
70879,Oras Bechet,0.6501439069373124,-19.542383218434388
70897,Bistret,0.45126389153632673,-19.72163989993195
70940,Barca,0.5208222982633562,-19.66217187193001
70968,Botosesti-Paia,0.024769226975622678,-19.992500106264238
70986,Brabova,-0.0,-21.0
71055,Bradesti,0.032947490617842946,-19.98949800955559
71126,Bralostita,-0.0,-21.0
71199,Bratovoesti,0.009466172153053518,-19.997544509542223
71260,Breasta,0.2658428337504271,-19.861616370297153
71340,Bulzesti,-0.0,-21.0
71457,Calopar,0.49356519202546545,-19.685901249256396
71518,Caraula,0.6276277759681671,-19.564075459931992
71536,Carpen,-0.0,-21.0
71572,Castranova,0.07573262605224607,-19.971443068033444
71607,Calarasi,0.00437646282137636,-19.998980459058757
71634,Celaru,0.0808715110975379,-19.96905734168643
71698,Cerat,0.6510790282665799,-19.54147484800934
71723,Cernatesti,-0.0,-21.0
71787,Cetate,0.4668893955039737,-19.708594463853803
71812,Cioroiasi,0.021713744850297523,-19.99357333157078
71858,Ciupercenii Noi,0.034176392557734324,-18.989709281936047
71885,Cosoveni,0.42536202696979053,-19.742856083996024
71910,Cotofenii Din Dos,0.02072114390837111,-19.99391574548365
71956,Daneti,-0.0,-21.0
72007,Oras Dabuleni,0.06970140584870818,-19.974189529620325
72034,Desa,0.07347526935566771,-18.976013412414165
72052,Diosti,0.05104587364737103,-19.98229068892976
72098,Dobresti,0.019987673372207644,-19.994166716581255
72150,Dragotesti,0.05042213701351308,-18.984072178711287
72221,Dranic,0.044384596372733585,-19.985025187821908
72276,Farcas,0.32912232300277866,-19.817051677445853
72383,Galicea Mare,0.007572480106851798,-19.99809840913855
72409,Ghercesti,-0.0,-21.0
72463,Gighera,0.3443948424908925,-19.805780336358268
72506,Giubega,-0.0,-21.0
72533,Giurgita,0.277578074931311,-19.853618812653426
72579,Gangiova,-0.0,-21.0
72604,Gogosu,-0.0,-21.0
72640,Goicea,-0.0,-21.0
72677,Goiesti,0.03945771870804708,-19.986988196312694
72819,Grecesti,-0.0,-21.0
72882,Izvoare,-0.0,-21.0
72926,Leu,0.011093152103952742,-19.99705325836274
72953,Lipovu,0.6495403761802414,-19.54296916892016
72980,Macesu De Jos,0.020800397925951678,-19.993888521894863
73013,Macesu De Sus,0.20963778627774607,-19.89813773271156
73031,Maglavit,0.26156591401445434,-19.864499956858438
73068,Malu Mare,0.3327724016656518,-18.818625654563125
73102,Melinesti,0.08363196138941895,-19.967758987453713
73246,Mischii,0.016515384746359326,-19.995329856290365
73317,Marsani,0.0713988132572196,-19.973422544755543
73335,Motatei,-0.0,-21.0
73371,Murgasi,-0.0,-21.0
73460,Negoi,0.6827141489721597,-19.510396698083966
73503,Orodel,0.013729564390242217,-19.996230695685508
73567,Ostroveni,0.15144895903135064,-19.932598859201665
73594,Perisor,0.02361769820424436,-19.992907891237447
73629,Pielesti,0.05019526099841605,-18.983755808946796
73665,Piscu Vechi,0.2247972435500212,-19.888585917038522
73709,Plenita,0.17787687652017672,-19.917395579938926
73736,Poiana Mare,0.14813963263063495,-19.934447373932397
73772,Predesti,0.06527257219506108,-19.97616814789166
73852,Radovan,0.36959632975299295,-19.786759173762867
73905,Rast,0.29309363772540153,-19.842855498302093
73923,Robanesti,-0.0,-21.0
73996,Sadova,0.4822341415849424,-19.69560521258539
74028,Salcuta,0.6592317015619469,-19.53353028930769
74073,Scaesti,-0.0,-21.0
74108,Seaca De Camp,0.03246398094313091,-19.989680360186636
74135,Seaca De Padure,-0.0,-21.0
74171,Secu,-0.0,-21.0
74224,Silistea Crucii,0.30914026321899596,-19.831501013279464
